,link,title,recall_info,date,company,issue,audiences,category,audience_2,recall_class
71,https://recalls-rappels.canada.ca/en/alert-recall/gb-foods-brand-various-sausage-products-recalled-due-undeclared-gluten-andor-wheat,GB Foods brand Various Sausage Products recalled due to undeclared gluten and/or wheat,GB Foods brand Various Sausage Products recalled due to undeclared gluten and/or wheat. The recalled products have been sold in British Columbia.,2022-05-13,GB Foods,Food - Allergen - Gluten,"Hotels, restaurants and institutions",Food - Meat and poultry - Processed,"Hotels, restaurants and institutions",Class 2
72,https://recalls-rappels.canada.ca/en/alert-recall/certain-organic-poppy-seeds-recalled-due-salmonella-0,Certain organic poppy seeds recalled due to Salmonella,"Bulk Basket is recalling certain organic poppy seeds from the marketplace due to possible Salmonella contamination. The recalled product has been sold at Bulk Basket, 401, 20th St. W., Saskatoon, Saskatchewan.",2022-05-05,Food - Microbial Contamination - Salmonella,"Food - Nuts, grains, and seeds",General public,Class 2,,
76,https://recalls-rappels.canada.ca/en/alert-recall/kerem-brand-feigen-mit-reismehl-dried-figs-recalled-due-ochratoxin,"Kerem brand ""Feigen mit Reismehl"" (dried figs) recalled due to ochratoxin A","Kerem brand ""Feigen mit Reismehl"" (dried figs) recalled due to ochratoxin A. The recalled product was sold in Ontario.",2022-05-03,Kerem,Food - Chemical - Contamination,Retail,Food - Fruits and vegetables,Retail,Class 2
77,https://recalls-rappels.canada.ca/en/alert-recall/pimlico-confectioners-brand-and-keats-london-brand-vegan-chocolate-products-recalled,Pimlico Confectioners brand and Keats London brand vegan chocolate products recalled due to undeclared milk,TJX Canada is recalling Pimlico Confectioners brand and Keats London brand vegan chocolate products from the marketplace because they may contain milk which is not declared on the label. The recalled products have been sold nationally.,2022-05-03,Pimlico Confectioners,Food - Allergen - Milk,"Food - Candy, confectionary, snacks and sweeteners",General public,,
78,https://recalls-rappels.canada.ca/en/alert-recall/certain-blue-organic-poppy-seeds-recalled-due-salmonella,Certain blue organic poppy seeds recalled due to Salmonella,"Healthy Planet - Oakville is recalling certain blue organic poppy seeds from the marketplace due to possible Salmonella contamination. The recalled product has been sold at Healthy Planet - Oakville, 2501 Hyde Park Gate, Unit C2, Oakville, Ontario.",2022-05-02,Food - Microbial Contamination - Salmonella,"Food - Nuts, grains, and seeds",General public,Class 2,,
79,https://recalls-rappels.canada.ca/en/alert-recall/jumbo-brand-puur-chocopasta-dark-chocolate-spread-recalled-due-undeclared-hazelnuts,Jumbo brand Puur Chocopasta (Dark Chocolate Spread) recalled due to undeclared hazelnuts,Jumbo brand Puur Chocopasta (Dark Chocolate Spread) recalled due to undeclared hazelnuts. The recalled product was sold in Alberta.,2022-04-29,Jumbo,Food - Allergen - Tree nut,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 3
80,https://recalls-rappels.canada.ca/en/alert-recall/pimlico-confectioners-brand-vegan-fine-hazelnut-truffles-recalled-due-undeclared-milk,Pimlico Confectioners brand Vegan Fine Hazelnut Truffles recalled due to undeclared milk,TJX Canada is recalling Pimlico Confectioners brand Vegan Fine Hazelnut Truffles from the marketplace because it contains milk which is not declared on the label. The recalled product has been sold nationally.,2022-04-27,Pimlico Confectioners,Food - Allergen - Milk,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 1,
81,https://recalls-rappels.canada.ca/en/alert-recall/various-poppy-seeds-recalled-due-salmonella-3,Various poppy seeds recalled due to Salmonella,Industry is recalling various poppy seeds from the marketplace due to possible Salmonella contamination. The recalled products have been sold as indicated in the table.,2022-04-23,Food - Microbial Contamination - Salmonella,"Food - Nuts, grains, and seeds",General public,Class 2,,
106,https://recalls-rappels.canada.ca/en/alert-recall/certain-breaded-meat-products-toscana-meat-distributors-recalled-due-undeclared,Certain breaded meat products from Toscana Meat Distributors recalled due to undeclared allergens,Certain breaded meat products from Toscana Meat Distributors recalled due to undeclared allergens. The recalled products were sold in Ontario.,2022-04-22,Food - Allergen - Gluten,"Hotels, restaurants and institutions",Food - Meat and poultry,"Hotels, restaurants and institutions",Class 3,
107,https://recalls-rappels.canada.ca/en/alert-recall/various-brands-bottled-water-and-soda-recalled-due-mould-and-yeast,Various brands of bottled water and soda recalled due to mould and yeast,Various brands of bottled water and soda recalled due to mould and yeast. The recalled products have been sold in Manitoba.,2022-04-22,Food - Microbial Contamination - Non harmful (quality or spoilage),Retail,Food - Beverages - Non-alcoholic,Retail,Class 3,
108,https://recalls-rappels.canada.ca/en/alert-recall/certain-pacific-oysters-recalled-due-norovirus,Certain Pacific Oysters recalled due to norovirus,Sawmill Bay Shellfish Co. Ltd. is recalling certain Pacific Oysters from the marketplace due to possible norovirus contamination. The recalled products have been sold in British Columbia and Alberta and may have been distributed in other provinces and…,2022-04-14,"Joyce Point, Read Island Gem, Joes Gold, Sawmill Bay DD",Food - Microbial Contamination - Norovirus,Food - Fish and seafood - Fresh,General public,Class 3,
109,https://recalls-rappels.canada.ca/en/alert-recall/certain-organic-blue-poppy-seeds-recalled-due-salmonella,Certain Organic Blue Poppy Seeds recalled due to Salmonella,Certain Organic Blue Poppy Seeds recalled due to Salmonella. The recalled product was sold in Ontario.,2022-04-13,Food - Microbial Contamination - Salmonella,"Food - Nuts, grains, and seeds",General public,Class 2,,
110,https://recalls-rappels.canada.ca/en/alert-recall/various-brands-ice-cream-products-recalled-due-pieces-plastic-and-metal,Various brands of ice cream products recalled due to pieces of plastic and metal,Various brands of ice cream products recalled due to pieces of plastic and metal. The recalled products have been sold nationally.,2022-04-13,Food - Extraneous Material,"Hotels, restaurants and institutions",Food - Dairy,"Hotels, restaurants and institutions",Class 2,
111,https://recalls-rappels.canada.ca/en/alert-recall/intercity-packers-ltd-brand-oyster-nshell-royal-miyagi-ow-recalled-due-norovirus-0,Intercity Packers Ltd. brand Oyster N/Shell Royal Miyagi Ow recalled due to norovirus,Intercity Packers Ltd. is recalling Intercity Packers Ltd. brand Oyster N/Shell Royal Miyagi Ow from the marketplace due to possible norovirus contamination. The recalled product has been sold in British Columbia and Ontario and may have been…,2022-04-12,Intercity Packers Ltd.,Food - Microbial Contamination - Norovirus,Food - Fish and seafood - Fresh,General public,Class 3,
115,https://recalls-rappels.canada.ca/en/alert-recall/certain-kinder-brand-chocolate-products-recalled-due-possible-salmonella-0,Certain Kinder brand chocolate products recalled due to possible Salmonella,Ferrero Canada Ltd. is recalling certain Kinder brand chocolate products from the marketplace due to possible Salmonella contamination. The recalled products have been sold nationally.,2022-04-11,Kinder,Food - Microbial Contamination - Salmonella,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 2,
119,https://recalls-rappels.canada.ca/en/alert-recall/fresh-market-foods-brand-beef-steak-nuggets-and-pemeal-back-bacon-chunks-recalled-due,"Fresh Market Foods brand Beef Steak Nuggets and ""Pemeal"" Back Bacon Chunks recalled due to undeclared anchovy","Fresh Market Foods brand Beef Steak Nuggets and ""Pemeal"" Back Bacon Chunks recalled due to undeclared anchovy. The recalled products have been sold in Ontario.",2022-04-11,Fresh Market Foods,Food - Allergen - Fish,Retail,Food - Meat and poultry - Processed,Retail,Class 2
120,https://recalls-rappels.canada.ca/en/alert-recall/sunrise-meat-sausage-ltd-brand-smokies-recalled-due-undeclared-mustard-and-soy,Sunrise Meat & Sausage Ltd. brand Smokies recalled due to undeclared mustard and soy,Sunrise Meat & Sausage Ltd. brand Smokies recalled due to undeclared mustard and soy. The recalled products have been sold in Ontario.,2022-04-11,Sunrise Meat & Sausage Ltd.,Food - Allergen - Mustard,Retail,Food - Meat and poultry - Processed,Retail,Class 2
121,https://recalls-rappels.canada.ca/en/alert-recall/genesis-food-brand-organic-blue-poppy-seeds-recalled-due-salmonella,Genesis Food brand Organic Blue Poppy Seeds recalled due to Salmonella,"Genesis Food brand Organic Blue Poppy Seeds recalled due to Salmonella. The recalled product has been sold in Alberta, Ontario and Quebec.",2022-04-11,Genesis Food,Food - Microbial Contamination - Salmonella,"Hotels, restaurants and institutions","Food - Nuts, grains, and seeds","Hotels, restaurants and institutions",Class 2
122,https://recalls-rappels.canada.ca/en/alert-recall/beyond-meat-brand-beyond-burger-plant-based-burgers-recalled-due-pieces-wood,Beyond Meat brand Beyond Burger Plant-Based Burgers recalled due to pieces of wood,Beyond Meat brand Beyond Burger Plant-Based Burgers recalled due to pieces of wood. The recalled product was sold in Ontario and Quebec.,2022-04-11,Beyond Meat,Food - Extraneous Material,Retail,Food - Other,Retail,Class 2
123,https://recalls-rappels.canada.ca/en/alert-recall/inari-brand-organic-blue-poppy-seeds-recalled-due-salmonella,Inari brand Organic Blue Poppy Seeds recalled due to Salmonella,"Puresource Natural Products is recalling Inari brand Organic Blue Poppy Seeds from the marketplace due to possible Salmonella contamination. The recalled product has been sold in Alberta, British Columbia, Manitoba, Nova Scotia, Ontario, Quebec and…",2022-04-11,Inari,Food - Microbial Contamination - Salmonella,"Food - Nuts, grains, and seeds",General public,Class 2,
124,https://recalls-rappels.canada.ca/en/alert-recall/verstegen-brand-mix-voor-nasi-bami-goreng-recalled-due-salmonella,"Verstegen brand ""Mix Voor Nasi & Bami Goreng"" recalled due to Salmonella","Global Reach Confections & More Inc. is recalling Verstegen brand ""Mix Voor Nasi & Bami Goreng"" from the marketplace due to possible Salmonella contamination. The recalled product was sold from Co-op Food Store, 4705 49 St., Barrhead, AB.",2022-04-08,Verstegen,Food - Microbial Contamination - Salmonella,Food - Herbs and spices,General public,Class 2,
125,https://recalls-rappels.canada.ca/en/alert-recall/certain-union-bay-seafood-ltd-brand-pacific-oysters-recalled-due-norovirus-0,Certain Union Bay Seafood Ltd. brand Pacific Oysters recalled due to norovirus,Union Bay Seafood Ltd. is recalling certain Union Bay Seafood Ltd. brand Pacific Oysters from the marketplace due to possible norovirus contamination. The recalled products have been sold in British Columbia and may have been distributed in other…,2022-04-06,Union Bay Seafood Ltd.,Food - Microbial Contamination - Norovirus,Food - Fish and seafood - Fresh,General public,Class 3,
126,https://recalls-rappels.canada.ca/en/alert-recall/co-op-clearview-brand-artesian-water-recalled-due-possible-yeast-and-mould,Co-Op Clearview brand Artesian Water recalled due to possible yeast and mould,Co-Op Clearview brand Artesian Water recalled due to possible yeast and mould The recalled product was sold in Manitoba,2022-04-05,Co-Op Clearview,Food - Microbial Contamination - Non harmful (quality or spoilage),Retail,Food - Beverages - Non-alcoholic,Retail,Class 3
127,https://recalls-rappels.canada.ca/en/alert-recall/ming-xiang-brand-mushroom-enoki-recalled-due-listeria-monocytogenes,Ming Xiang brand Mushroom (enoki) recalled due to Listeria monocytogenes,"Longsheng (Canada) Agricultural Products Ltd. is recalling Ming Xiang brand Mushroom (enoki) from the marketplace due to possible Listeria monocytogenes contamination.
The recalled product has been sold in British Columbia and may have been distributed…",2022-04-04,Ming Xiang,Food - Microbial Contamination - Listeria,Food - Fruits and vegetables - Fresh,General public,Class 1,
128,https://recalls-rappels.canada.ca/en/alert-recall/certain-daily-fresh-shellfish-inc-brand-oysters-recalled-due-norovirus,Certain Daily Fresh Shellfish Inc. brand Oysters recalled due to norovirus,"Daily Fresh Shellfish Inc. is recalling certain Daily Fresh Shellfish Inc. brand Oysters from the marketplace due to possible norovirus contamination. The recalled products have been sold in British Columbia, Ontario, Quebec, and online, and may…",2022-03-31,Daily Fresh Shellfish Inc.,Food - Microbial Contamination - Norovirus,Food - Fish and seafood - Fresh,General public,Class 3,
129,https://recalls-rappels.canada.ca/en/alert-recall/pacific-rim-shellfish-2003-corp-brand-oysters-recalled-due-norovirus,Pacific Rim Shellfish (2003) Corp brand Oysters recalled due to norovirus,"Pacific Rim Shellfish (2003) Corporation is recalling Pacific Rim Shellfish (2003) Corp brand Oysters from the marketplace due to possible norovirus contamination. The recalled products have been sold in British Columbia, Alberta, Saskatchewan,…",2022-03-27,Pacific Rim Shellfish Corp,Food - Microbial Contamination - Norovirus,Food - Fish and seafood - Fresh,General public,Class 2,
130,https://recalls-rappels.canada.ca/en/alert-recall/certain-taylor-shellfish-canada-ulc-brand-oysters-recalled-due-norovirus,Certain Taylor Shellfish Canada ULC brand Oysters recalled due to norovirus,"Taylor Shellfish Canada ULC dba Fanny Bay Oysters is recalling certain Taylor Shellfish Canada ULC brand Oysters from the marketplace due to possible norovirus contamination. The recalled products have been sold in Alberta, British Columbia, Ontario…",2022-03-27,Taylor Shellfish Canada ULC,Food - Microbial Contamination - Norovirus,Food - Fish and seafood - Fresh,General public,Class 2,
131,https://recalls-rappels.canada.ca/en/alert-recall/jimel-s-bakery-brand-baked-goods-recalled-due-possible-salmonella-contamination-rodent,Jimel’s Bakery brand baked goods recalled due to possible Salmonella contamination from rodent infestation,Jimel's Bakery and Food Products is recalling Jimel's Bakery brand baked goods from the marketplace due to possible Salmonella contamination from rodent infestation. The recalled products have been sold in Manitoba.,2022-03-25,Jimel's Bakery,Food - Microbial Contamination - Salmonella,Food - Grain products,General public,Class 2,
132,https://recalls-rappels.canada.ca/en/alert-recall/certain-stellar-bay-shellfish-brand-chef-creek-oysters-recalled-due-norovirus,Certain Stellar Bay Shellfish brand Chef Creek Oysters recalled due to norovirus,Stellar Bay Shellfish is recalling certain Stellar Bay Shellfish brand Chef Creek Oysters from the marketplace due to possible norovirus contamination. The recalled products have been sold in British Columbia and may have been distributed in other…,2022-03-23,Stellar Bay Shellfish,Food - Microbial Contamination - Norovirus,Certain Stellar Bay Shellfish brand Oysters recalled due to norovirus,Food - Fish and seafood - Fresh,General public,Class 2
133,https://recalls-rappels.canada.ca/en/alert-recall/taisun-brand-vegetarian-mushroom-jerky-hot-recalled-due-undeclared-milk,Taisun brand Vegetarian Mushroom Jerky (Hot) recalled due to undeclared milk,"Uncle T Food is recalling Taisun brand Vegetarian Mushroom Jerky (Hot) from the marketplace because it may contain milk which is not declared on the label. The recalled product has been sold in British Columbia, Alberta, and Ontario.",2022-03-22,Taisun,Food - Allergen - Milk,Food - Other,General public,Class 1,
134,https://recalls-rappels.canada.ca/en/alert-recall/certain-stellar-bay-shellfish-brand-oysters-recalled-due-norovirus,Certain Stellar Bay Shellfish brand Oysters recalled due to norovirus,"Stellar Bay Shellfish is recalling certain oysters from the marketplace due to possible norovirus contamination. The recalled products have been sold in British Columbia, Alberta, Quebec and Ontario and may have been distributed in other provinces and…",2022-03-20,Stellar Bay Shellfish,Food - Microbial Contamination - Norovirus,Food - Fish and seafood - Fresh,General public,Class 2,
135,https://recalls-rappels.canada.ca/en/alert-recall/dam-sen-dried-seafood-brand-garlic-roasted-dried-squid-recalled-due-undeclared-sesame,Dam Sen Dried Seafood brand Garlic Roasted Dried Squid recalled due to undeclared sesame,"Dam Sen Dried Seafood brand Garlic Roasted Dried Squid recalled due to undeclared sesame. The recalled product has been sold in Alberta, British Columbia and Manitoba.",2022-03-18,Dam Sen Dried Seafood,Food - Allergen - Sesame seeds,Retail,Food - Fish and seafood - Processed,Retail,Class 2
136,https://recalls-rappels.canada.ca/en/alert-recall/golden-medal-brand-enoki-mushroom-recalled-due-listeria-monocytogenes,Golden Medal brand Enoki Mushroom recalled due to Listeria monocytogenes,Longsheng (Canada) Agricultural Products Ltd. is recalling Golden Medal brand Enoki Mushroom from the marketplace due to possible Listeria monocytogenes contamination. The recalled product has been sold in British Columbia and may have been…,2022-03-16,Golden Medal,Food - Microbial Contamination - Listeria,Food - Fruits and vegetables - Fresh,General public,Class 1,
137,https://recalls-rappels.canada.ca/en/alert-recall/cavendish-farms-brand-classic-hash-brown-patties-and-no-name-brand-potato-patties,Cavendish Farms brand Classic Hash Brown Patties and no name brand Potato Patties recalled due to undeclared wheat and barley,Cavendish Farms Corporation is recalling Cavendish Farms brand Classic Hash Brown Patties and no name brand Potato Patties from the marketplace because they contain wheat which is not declared on the label. The recalled products have been sold in…,2022-03-12,Cavendish Farms,Food - Allergen - Gluten,Food - Other,General public,Class 1,
138,https://recalls-rappels.canada.ca/en/alert-recall/taisun-brand-vegetarian-mushroom-jerky-recalled-due-undeclared-milk,Taisun brand Vegetarian Mushroom Jerky recalled due to undeclared milk,"Uncle T Food is recalling Taisun brand Vegetarian Mushroom Jerky from the marketplace because it may contain milk which is not declared on the label. The recalled product has been sold in British Columbia, Alberta, and Ontario.",2022-03-11,Taisun,Food - Allergen - Milk,Food - Other,General public,Class 1,
139,https://recalls-rappels.canada.ca/en/alert-recall/hana-brand-frozen-fish-cake-recalled-due-undeclared-egg,Hana brand Frozen Fish Cake recalled due to undeclared egg,"Hana brand Frozen Fish Cake recalled due to undeclared egg. The recalled product was sold in Alberta, British Columbia, and Manitoba.",2022-03-04,Hana,Food - Allergen - Egg,"Hotels, restaurants and institutions",Food - Fish and seafood - Frozen,"Hotels, restaurants and institutions",Class 1
140,https://recalls-rappels.canada.ca/en/alert-recall/3fish-brand-sauerkraut-fish-szechuan-style-and-tilapia-soup-pickled-vegetables-0,3Fish brand Sauerkraut Fish (Szechuan Style) and Tilapia Soup with Pickled Vegetables recalled due to undeclared milk,"The food recall warning issued on February 17, 2022 has been updated to include additional distribution information. This additional information was identified during the Canadian Food Inspection Agency's food safety investigation. Frobisher…",2022-02-23,3Fish,Food - Allergen - Milk,3Fish brand Sauerkraut Fish (Szechuan Style) and Tilapia Soup with Pickled Vegetables recalled due to undeclared milk,Food - Fish and seafood - Frozen,General public,Class 1
144,https://recalls-rappels.canada.ca/en/alert-recall/certain-raw-bc-oysters-recalled-due-norovirus,Certain Raw BC Oysters recalled due to norovirus,Certain Raw BC Oysters recalled due to norovirus. The recalled product has been sold in British Columbia.,2022-02-18,None,Food - Microbial Contamination - Norovirus,"Hotels, restaurants and institutions",Food - Fish and seafood - Fresh,"Hotels, restaurants and institutions",Class 2
145,https://recalls-rappels.canada.ca/en/alert-recall/certain-abbott-brand-powdered-infant-formula-products-recalled-due-cronobacter,Certain Abbott brand powdered infant formula products recalled due to Cronobacter sakazakii and Salmonella,Abbott is recalling certain Abbott brand powdered infant formula products from the marketplace due to possible Cronobacter sakazakii and Salmonella contamination. The recalled products have been sold nationally.,2022-02-17,Abbott,Food - Microbial Contamination - Salmonella,Certain Abbott brand powdered infant formula products recalled due to possible Cronobacter sakazakii and Salmonella ,Food - Infant products,General public,Class 1
146,https://recalls-rappels.canada.ca/en/alert-recall/our-chinese-heart-brand-sauerkraut-tilapia-hot-spicy-and-golden-soup-sauerkraut-fish,Our Chinese Heart brand Sauerkraut Tilapia (Hot Spicy) and Golden Soup Sauerkraut Fish (Tilapia (Mild Spicy)) recalled due to undeclared milk,Metro Marine Corporation is recalling Our Chinese Heart brand Sauerkraut Tilapia (Hot Spicy) and Golden Soup Sauerkraut Fish (Tilapia (Mild Spicy)) from the marketplace because they may contain milk which is not declared on the label. The recalled…,2022-02-11,Our Chinese Heart,Food - Allergen - Milk,Food - Fish and seafood - Frozen,General public,Class 1,
147,https://recalls-rappels.canada.ca/en/alert-recall/q-one-homemade-brand-blackrice-honey-hoddeok-mix-recalled-due-undeclared-peanut,Q One Homemade brand Blackrice & Honey Hoddeok Mix recalled due to undeclared peanut,Korea Food Trading Ltd. is recalling Q One Homemade brand Blackrice & Honey Hoddeok Mix from the marketplace because it contains peanuts which are not declared on the label. The recalled product has been sold in Ontario and Quebec.,2022-02-11,Q One Homemade,Food - Allergen - Peanut,Food - Other,General public,Class 2,
148,https://recalls-rappels.canada.ca/en/alert-recall/yangyuan-brand-six-walnut-drinks-recalled-due-undeclared-milk,Yangyuan brand Six Walnut Drinks recalled due to undeclared milk,Yangyuan brand Six Walnut Drinks recalled due to undeclared milk. The recalled product has been sold in British Columbia.,2022-02-11,Yangyuan,Food - Allergen - Milk,Retail,Food - Other,Retail,Class 2
149,https://recalls-rappels.canada.ca/en/alert-recall/searay-brand-sauerkraut-fish-szechuan-style-spicy-and-sauerkraut-fish-golden-soup,Searay brand Sauerkraut Fish (Szechuan Style) Spicy and Sauerkraut Fish (Golden Soup) recalled due to undeclared milk,"The recall notification issued on February 4, 2022, has been updated to a Food Recall Warning due to additional information. This additional information was identified during the Canadian Food Inspection Agency's food safety investigation Searay Foods…",2022-02-11,Searay,Food - Allergen - Milk,Food - Fish and seafood - Frozen,General public,Class 1,2022-02-11: Updated to a Food Recall Warning due to additional information. 
150,https://recalls-rappels.canada.ca/en/alert-recall/hampton-house-brand-chicken-nuggets-recalled-due-salmonella,Hampton House brand Chicken Nuggets recalled due to Salmonella,"JD Sweid Foods (2013) Ltd. is recalling Hampton House brand Chicken Nuggets from the marketplace due to possible Salmonella. The recalled product has been sold in British Columbia, Alberta, Saskatchewan and Manitoba.",2022-02-09,Hampton House,Food - Microbial Contamination - Salmonella,Food - Meat and poultry - Processed,General public,Class 2,
151,https://recalls-rappels.canada.ca/en/alert-recall/anhydra-brand-organic-dehydrated-bananas-recalled-due-presence-insects,Anhydra brand Organic Dehydrated Bananas recalled due to presence of insects,Anhydra brand Organic Dehydrated Bananas recalled due to presence of insects. The recalled products were sold in Quebec.,2022-02-08,Anhydra,Food - Extraneous Material,Manufacturers,"Food - Candy, confectionary, snacks and sweeteners",Manufacturers,Class 3
152,https://recalls-rappels.canada.ca/en/alert-recall/hankook-korean-characters-only-brand-original-kimchi-recalled-due-e-coli-o157h7-0,Hankook (Korean characters only) brand Original Kimchi recalled due to E. coli O157:H7,T-Brothers Food & Trading Ltd. is recalling Hankook (Korean characters only) brand Original Kimchi from the marketplace due to possible E. coli O157:H7 contamination. The recalled product has been sold in British Columbia.,2022-02-06,Hankook [Korean characters only],Food - Microbial Contamination - E. Coli O157:H7,Hankook (Korean characters only) brand Original Kimchi recalled due to E. coli O157:H7,Hankook (Korean characters only) brand Original Kimchi recalled due to E. coli O157:H7,Food - Other,General public
156,https://recalls-rappels.canada.ca/en/alert-recall/pc-brand-lemon-ginger-sicilian-soda-recalled-due-possible-presence-glass,PC brand Lemon & Ginger Sicilian Soda recalled due to possible presence of glass,Loblaw Companies Ltd. is recalling PC brand Lemon & Ginger Sicilian Soda from the marketplace due to the possible presence of glass. The recalled product has been sold nationally.,2022-02-03,President's Choice,Food - Extraneous Material,Food - Beverages - Non-alcoholic,General public,Class 1,
157,https://recalls-rappels.canada.ca/en/alert-recall/jlf-foods-ltd-brand-frozen-white-shrimp-recalled-due-nitrofurans,JLF Foods Ltd. brand frozen white shrimp recalled due to nitrofurans,JLF Foods Ltd. brand frozen white shrimp recalled due to nitrofurans,2022-02-02,JLF Foods Ltd.,Food - Chemical,"Hotels, restaurants and institutions",Food - Fish and seafood - Frozen,"Hotels, restaurants and institutions",Class 3
158,https://recalls-rappels.canada.ca/en/alert-recall/president-s-choice-brand-roasted-cashews-sea-salt-recalled-due-odour-and-taste,President's Choice brand Roasted Cashews with Sea Salt recalled due to off odour and off taste,President's Choice brand Roasted Cashews with Sea Salt recalled due to off odour and off taste. The recalled products were sold nationally.,2022-02-02,President's Choice,Food - Other,Retail,"Food - Nuts, grains, and seeds",Retail,Class 3
159,https://recalls-rappels.canada.ca/en/alert-recall/fresh-attitude-and-st-hubert-brand-salads-recalled-due-pieces-plastic,Fresh Attitude and St-Hubert brand salads recalled due to pieces of plastic,"Fresh Attitude and St-Hubert brand salads recalled due to pieces of plastic. The recalled products were sold in New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Ontario, and Quebec.",2022-02-01,Fresh Attitude and St-Hubert,Food - Extraneous Material,Retail,Food - Multiple food items,Retail,Class 2
160,https://recalls-rappels.canada.ca/en/alert-recall/various-two-bears-brand-oat-milk-products-recalled-due-undeclared-milk,Various Two Bears brand Oat Milk Products recalled due to undeclared milk,Two Bears is recalling various Two Bears brand oat milk products from the marketplace because they contain milk which is not declared on the label. The recalled products have been sold nationally and online.,2022-02-01,Two Bears,Food - Allergen - Milk,Food - Beverages - Non-alcoholic,General public,Class 1,
161,https://recalls-rappels.canada.ca/en/alert-recall/tayeb-brand-sauces-recalled-due-pieces-metal,Tayeb brand sauces recalled due to pieces of metal,"Tayeb brand sauces recalled due to pieces of metal. The recalled products have been sold in British Columbia, New Brunswick, Ontario and Quebec.",2022-01-27,Tayeb,Food - Extraneous Material,Retail,Food - Condiments,Retail,Class 2
162,https://recalls-rappels.canada.ca/en/alert-recall/pc-organics-brand-old-fashioned-rolled-oats-recalled-due-presence-insects,PC Organics brand Old-Fashioned Rolled Oats recalled due to presence of insects,PC Organics brand Old-Fashioned Rolled Oats recalled due to presence of insects. The recalled product has been sold nationally.,2022-01-26,PC Organics,Food - Extraneous Material,Retail,"Food - Nuts, grains, and seeds",Retail,Class 3
163,https://recalls-rappels.canada.ca/en/alert-recall/miski-organic-brand-organic-dried-banana-slices-recalled-due-presence-insects,Miski Organic brand Organic Dried Banana Slices recalled due to presence of insects,Miski Organics brand Organic Dried Banana Slices recalled due to presence of insects. The recalled products have been sold in Ontario and Quebec.,2022-01-25,Miski Organic Superfoods Inc.,Food - Extraneous Material,Retail,Food - Fruits and vegetables,Retail,Class 3
164,https://recalls-rappels.canada.ca/en/alert-recall/zyo-brand-dried-banana-recalled-due-presence-insects,ZYO brand Dried Banana recalled due to presence of insects,ZYO brand Dried Banana recalled due to presence of insects The recalled products have been sold in Quebec.,2022-01-25,Zyo,Food - Extraneous Material,Retail,Food - Fruits and vegetables,Retail,Class 3
165,https://recalls-rappels.canada.ca/en/alert-recall/certain-quality-fast-foods-brand-and-hygaard-fine-foods-ltd-brand-sandwiches-recalled,Certain Quality fast foods brand and Hygaard Fine Foods Ltd. brand sandwiches recalled due to Listeria monocytogenes,HQ Fine Foods is recalling certain Quality fast foods brand and Hygaard Fine Foods Ltd. brand sandwiches from the marketplace due to possible Listeria monocytogenes contamination. The recalled products have been sold nationally.,2022-01-24,Quality fast foods,Food - Microbial Contamination - Listeria,Food - Multiple food items,General public,Class 1,
166,https://recalls-rappels.canada.ca/en/alert-recall/two-bears-brand-unsweetened-oat-mlk-recalled-due-undeclared-milk,Two Bears brand Unsweetened Oat M*lk recalled due to undeclared milk,Two Bears is recalling Two Bears brand Unsweetened Oat M*lk from the marketplace because it may contain milk which is not declared on the label. The recalled product has been sold nationally and online.,2022-01-22,Two Bears,Food - Allergen - Milk,Various Two Bears brand Oat Milk Products recalled due to undeclared milk,Food - Beverages - Non-alcoholic,General public,Class 1
167,https://recalls-rappels.canada.ca/en/alert-recall/shirakiku-brand-baked-red-bean-cake-recalled-due-undeclared-milk,Shirakiku brand Baked Red Bean Cake recalled due to undeclared milk,"Wismettac Asian Foods, Inc. is recalling Shirakiku brand Baked Red Bean Cake from the marketplace because it contains milk which is not declared on the label. The recalled product has been sold nationally.",2022-01-22,Shirakiku,Food - Allergen - Milk,Food - Grain products,General public,Class 1,
168,https://recalls-rappels.canada.ca/en/alert-recall/searay-brand-sauerkraut-fish-szechuan-style-spicy-recalled-due-undeclared-milk,Searay brand Sauerkraut Fish (Szechuan Style) Spicy recalled due to undeclared milk,"Searay Foods Inc. is recalling Searay brand Sauerkraut Fish (Szechuan Style) Spicy from the marketplace because it may contain milk which is not declared on the label. The recalled product has been sold in Alberta, British Columbia, Manitoba, Nova…",2022-01-22,Searay,Food - Allergen - Milk,Food - Fish and seafood - Frozen,General public,Class 1,
169,https://recalls-rappels.canada.ca/en/alert-recall/arifoglu-brand-black-pepper-ground-recalled-due-undeclared-gluten,Arifoglu brand Black Pepper Ground recalled due to undeclared gluten,Arifoglu brand Black Pepper Ground recalled due to undeclared gluten. The recalled product has been sold in Ontario.,2022-01-21,Arifoglu,Food - Allergen - Gluten,Retail,Food - Herbs and spices,Retail,Class 3
