,index,title,date,hazard,hazard_type,recall_class,audience,distribution,brand,company,product
460,765,Various cooked diced chicken meat products recalled due to Listeria monocytogenes,2019-09-27,Listeria monocytogenes,Microbiological,Class 2,Hotel/Restaurant/Institutional,Nationally,,"Reuven International Ltd, Rosemount Sales and Marketing",To listeria monocytogenes
461,766,Mac's Oysters Ltd. brand pacific oysters recalled due to a marine biotoxin which causes Paralytic Shellfish Poisoning (PSP),2019-09-26,Marine Biotoxin,Marine Biotoxin,Class 2,Hotel/Restaurant/Institutional,British Columbia,Mac's Oysters Ltd.,Mac's Oysters Ltd.,Pacific oysters
462,767,Globe Meats Fresh Market & Grill brand Regular Ground Veal recalled due to E. coli O157:H7,2019-09-26,E. coli o157:h7,Microbiological,Class 1,Retail,Ontario,Globe Meats Fresh Market & Grill,Globe Meats Fresh Market & Grill,Regular ground veal
463,768,Brandt brand Extra Lean Kolbassa Sausage recalled due to Listeria monocytogenes,2019-09-26,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,Brandt,G. Brandt Meat Packers Ltd.,Extra lean kolbassa sausage
464,769,Glacial Treasure brand chicken products recalled due to Listeria monocytogenes,2019-09-26,Listeria monocytogenes,Microbiological,Class 2,Hotel/Restaurant/Institutional,Ontario,Glacial Treasure,D & D Poultry,Chicken products
465,770,Randsland brand Super Salad Kit and Randsland brand Kale recalled due to Listeria monocytogenes,2019-09-25,Listeria monocytogenes,Microbiological,Class 1,Retail,"Prince Edward Island, New Brunswick, Nova Scotia, Newfoundland and Labrador",Randsland,Randsland Farms Inc.,Super salad kit and randsland brand kale
466,771,Ryding-Regency Meat Packers Ltd. brand beef and veal products recalled due to E. coli O157:H7,2019-09-25,E. coli o157:h7,Microbiological,Class 1,Hotel/Restaurant/Institutional,"New Brunswick, Ontario",Ryding-Regency Meat Packers Ltd.,Ryding-Regency Meat Packers Ltd.,Beef and veal products
467,772,Ryding-Regency Meat Packers Ltd. brand Beef Cheek Meat Less Than 5% Water Retention recalled due to E. coli O157:H7,2019-09-24,E. coli o157:h7,Microbiological,Class 1,Hotel/Restaurant/Institutional,Quebec,Ryding-Regency Meat Packers Ltd.,Ryding-Regency Meat Packers Ltd.,Beef cheek meat less than 5% water retention
468,774,"Alpha Meat Packers Ltd. brand ground beef, ground pork and burger products recalled due to E. coli O157:H7",2019-09-21,E. coli o157:h7,Microbiological,Class 1,Hotel/Restaurant/Institutional,Quebec,Alpha Meat Packers Ltd.,Alpha Meat Packers Ltd.,"Ground beef, ground pork and burger products"
469,776,Alpha Meat Packers Ltd. brand Beef Burgers and Lean Ground Beef recalled due to E. coli O157:H7,2019-09-20,E. coli o157:h7,Microbiological,Class 1,Hotel/Restaurant/Institutional,Quebec,Alpha Meat Packers Ltd.,Alpha Meat Packers Ltd.,Beef burgers and lean ground beef
470,775,Parador Plus brand Bouillon Chicken Concentrate recalled due to yeast and mould,2019-09-20,"Yeast , mould",Microbiological,Class 3,Hotel/Restaurant/Institutional,Quebec,Parador Plus,Les Aliments Parador Foods Inc.,Bouillon chicken concentrate
471,777,Probar brand The Simply Real Bar – Chocolate Coconut Flavour recalled due to undeclared milk and soy,2019-09-19,"Milk , soy",Allergen,Class 1,Retail,"Alberta, British Columbia, Manitoba, Northwest Territories, Saskatchewan, Yukon",Probar,Horizon Distributors Ltd.,The simply real bar – chocolate coconut flavour
472,778,Gatorade Frost brand Thirst Quencher - Glacier Freeze recalled due to mould,2019-09-18,Mould,Microbiological,Class 3,Retail,Nationally,Gatorade Frost,Pepsico Beverages Canada,Thirst quencher - glacier freeze
473,779,Lal Qilla brand Fried Onions recalled due to pieces of metal,2019-09-17,Metal,Extraneous Material,Class 3,Retail,Ontario,Lal Qilla,Amrita Trading Co,Fried onions
474,780,QQ Fish brand Mushroom Fish Ball due to undeclared egg,2019-09-13,Egg,Allergen,Class 1,Consumer,"British Columbia, Quebec",QQ Fish,TLW Trading Ltd.,To undeclared egg
475,781,Abbott brand Calcilo XD Powder recalled due to rancidity and off-colour,2019-09-13,Quality/Spoilage,Chemical,Class 2,Consumer,"Alberta, British Columbia, Manitoba, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland and Labrador",Abbott,Abbott Laboratories,Calcilo xd powder
476,782,"Various brands of pâtés, mousses, terrines and rillettes recalled due to Listeria monocytogenes",2019-09-12,Listeria monocytogenes,Microbiological,Class 1,Consumer,"Ontario, Quebec",Various,Les Spécialités Prodal (1975) Ltée,"Of pâtés, mousses, terrines and rillettes"
477,783,IQF Peas and Carrots recalled due to presence of rock and pieces of wood,2019-09-12,"Rock , Wood",Extraneous Material,Class 2,"Retail, Hotel/Restaurant/Institutional",Ontario,,Alasko Foods Inc.,To presence of rock and pieces of wood
478,784,Tostitos brand Medium Salsa Con Queso recalled due to spoilage,2019-09-10,Quality/Spoilage,Microbiological,Class 3,Retail,Ontario,Tostitos,PepsiCo Foods Canada,Medium salsa con queso
479,785,Alasko brand IQF Peas and Carrots recalled due to presence of rocks and pieces of wood,2019-09-10,"Rocks , Wood",Extraneous Material,Class 2,"Retail, Hotel/Restaurant/Institutional","New Brunswick, Ontario, Quebec, Newfoundland and Labrador",Alasko,Alasko Foods Inc.,Iqf peas and carrots
480,786,88 Soy & Fish brand Pre-Fried Cuttlefish Flavoured Fish Cake recalled due to undeclared egg,2019-09-06,Egg,Allergen,Class 3,Retail,British Columbia,88 Soy & Fish,TLW Trading Ltd.,Pre-fried cuttlefish flavoured fish cake
481,787,St-Hubert brand Chicken Breast Nuggets recalled due to presence of bone fragments,2019-09-05,Bone,Extraneous Material,Class 2,Retail,Nationally,St-Hubert,Maître Saladier Inc.,Chicken breast nuggets
482,788,Portofino brand Cinnamon Sugar Coffee Cake recalled due to undeclared walnuts,2019-09-05,Walnuts,Allergen,Class 3,Retail,British Columbia,Portofino,Portofino Bakery,Cinnamon sugar coffee cake
483,789,Seafood products recalled due to undeclared sesame and fish,2019-09-05,"Sesame , fish",Allergen,Class 2,Retail,Ontario,,Korea Food Trading Ltd.,To undeclared sesame and fish
484,790,Le Meilleur Enr. brand Yummies recalled due to undeclared milk,2019-09-05,Milk,Allergen,Class 2,Retail,"New Brunswick, Quebec",Le Meilleur Enr.,Jacques Lemieux (Grossiste) Inc.,Yummies
485,791,Microbrasserie Charlevoix brand Extra Strong Beer Dominus Vobiscum Triple recalled due to bursting bottles,2019-09-04,Bursting bottles,Microbiological,Class 3,Retail,Quebec,Microbrasserie Charlevoix,Microbrasserie Charlevoix (2007) Inc.,Extra strong beer dominus vobiscum triple
486,798,Delmonico's Restaurant brand salad dressing recalled due to undeclared mustard,2019-08-30,Mustard,Allergen,Class 1,Retail,Nationally,Delmonico's Restaurant,Dovetale Collections,Salad dressing
487,794,"Rinag brand Chicken Samosas recalled due to stones, pieces of wood and other extraneous material",2019-08-30,Extraneous material,Extraneous Material,Class 2,Retail,Ontario,Rinag,Rinag Foods Inc.,Chicken samosas
488,797,Certain The Deli-Shop brand Pâtés recalled due to Listeria monocytogenes,2019-08-30,Listeria monocytogenes,Microbiological,Class 1,Retail,Quebec,Certain The Deli-Shop,Les Spécialités Prodal (1975) Ltée,Pâtés
489,793,"QQ Fish brand Fish Balls, Fish Cakes, and Seafood Balls recalled due to undeclared egg",2019-08-30,Egg,Allergen,Class 1,Retail,"Alberta, British Columbia, Quebec",QQ Fish,TLW Trading Ltd.,"Fish balls, fish cakes, and seafood balls"
490,801,The Good Diet (TGD) brand Protein Meals recalled due to undeclared soy,2019-08-23,Soy,Allergen,Class 2,Retail,Ontario,The Good Diet (TGD),9355936 Canada Inc.,Protein meals
491,799,Rosemount brand cooked diced chicken recalled due to Listeria monocytogenes,2019-08-23,Listeria monocytogenes,Microbiological,Class 2,Hotel/Restaurant/Institutional,Nationally,Rosemount,Rosemount Sales and Marketing,Cooked diced chicken
492,800,"Western Family brand Grab N'Go - Veggie Crisps recalled due to undeclared sulphites, almond, peanut, soy and wheat",2019-08-23,"Sulphites, almond, peanut, soy , wheat",Allergen,Class 3,Retail,"Alberta, British Columbia, Manitoba, Saskatchewan, Yukon",Western Family,Golden Boy Foods Ltd.,Grab n'go - veggie crisps
493,802,Reuven International Ltd brand Natural Proportion Cooked Chicken Meat (Diced) and Sysco brand Natural Proportions Cooked Shredded Chicken recalled due to Listeria monocytogenes,2019-08-21,Listeria monocytogenes,Microbiological,Class 2,Hotel/Restaurant/Institutional,Nationally,Reuven International Ltd,Reuven International Ltd,Natural proportion cooked chicken meat (diced) and sysco brand natural proportions cooked shredded chicken
494,805,"Krazy Dan's brand Pickled Weiners and Mild Sauce recalled due to undeclared sulphites, mustard, soy and wheat",2019-08-20,"Sulphites, mustard, soy , wheat",Allergen,Class 2,Retail,Ontario,Krazy Dan's,Krazy Dan's Pickled Products,Pickled weiners and mild sauce
495,804,Grained Salmon Caviar recalled due to potential presence of dangerous bacteria,2019-08-20,Dangerous bacteria,Microbiological,Class 1,Retail,Nationally,,Kananaskistrade,To potential presence of dangerous bacteria
496,806,London Gourmet brand Monster Snack Mix recalled due to undeclared almond,2019-08-19,Almond,Allergen,Class 3,Retail,"Alberta, British Columbia, Manitoba, Saskatchewan",London Gourmet,Golden Boy Foods Ltd.,Monster snack mix
497,807,Rosemount brand cooked diced chicken meat recalled due to Listeria monocytogenes,2019-08-18,Listeria monocytogenes,Microbiological,Class 2,Hotel/Restaurant/Institutional,Nationally,Rosemount,Rosemount Sales and Marketing,Cooked diced chicken meat
498,808,Heinz brand Turkey Stew baby food recalled due to presence of insects,2019-08-16,Insects,Extraneous Material,Class 3,Retail,"British Columbia, Ontario, Quebec, Saskatchewan, Newfoundland and Labrador",Heinz,Kraft Heinz Canada,Turkey stew baby food
499,810,CFIA advises consumers to use caution with infant formula products due to potential product substitution and/or tampering,2019-08-14,Tampering,Tampering,--,Retail,Alberta,,--,To potential product substitution and/or tampering
500,811,QQ Fish brand Fish Balls and Fish Cakes recalled due to undeclared egg,2019-08-14,Egg,Allergen,Class 3,Retail,"Alberta, British Columbia, Quebec",QQ Fish,TLW Trading Ltd.,Fish balls and fish cakes
501,812,QQ Fish brand Mushroom Fish Ball recalled due to undeclared egg,2019-08-14,Egg,Allergen,Class 1,Retail,"Alberta, British Columbia, Quebec",QQ Fish,TLW Trading Ltd.,Mushroom fish ball
502,813,Easy Home Chef brand meat products recalled due to undeclared wheat,2019-08-14,Wheat,Allergen,Class 2,Retail,Ontario,Easy Home Chef,Easy Home Chef,Meat products
503,814,Dawn Food Products Inc. brand powdered ingredients recalled due to pieces of plastic,2019-08-12,Plastic,Extraneous Material,Class 3,Hotel/Restaurant/Institutional,"Alberta, Nova Scotia, Ontario, Quebec, Newfoundland and Labrador",Dawn Food Products Inc.,Dawn Food Products Inc.,Powdered ingredients
504,815,Zaher's brand Hummus recalled due to undeclared sesame and sulphites,2019-08-09,"Sesame , sulphites",Allergen,Class 2,Retail,Ontario,Zaher's,Zaher's Small Batch,Hummus
505,816,West Of The 5th brand Hard Tea recalled due to bursting bottles,2019-08-09,Bursting bottles,Other,Class 3,Retail,Alberta,West Of The 5th,Shady Lane Estate,Hard tea
506,817,Stoked Oats brand Aphrodisi-Oats - Oatmeal Blend with Flax & Chia recalled due to presence of insect matter,2019-08-08,Insects,Extraneous Material,Class 3,Retail,Nationally,Stoked Oats,Stoked Oats Ltd.,Aphrodisi-oats - oatmeal blend with flax & chia
507,819,Lazar Yitzchok brand Glatt Kosher Beef Burgers recalled due to pieces of bone,2019-08-07,Bone,Extraneous Material,Class 2,Retail,Ontario,Lazar Yitzchok,Lazar Yitzchok Glatt Kosher Meats,Glatt kosher beef burgers
508,818,FV Foods brand Mini Pandeleche Milk Bun recalled due to undeclared egg,2019-08-07,Egg,Allergen,Class 3,Retail,Nationally,FV Foods,FV Foods,Mini pandeleche milk bun
509,820,Flamingo brand Chicken Breast Fillets - Gluten Free recalled due to undeclared allergens,2019-08-01,Allergens,Allergen,Class 2,Retail,Quebec,Flamingo,Olymel S.E.C. / L.P.,Chicken breast fillets - gluten free
510,821,Grenache brand Caramel Spread recalled due to rancidity,2019-07-31,Quality/Spoilage,Other,Class 3,Retail,"Ontario, Quebec",Grenache,Smucker Foods of  Canada Corp.,Caramel spread
511,822,Ryki brand Rycki Edam Cheese Slices recalled due to Listeria monocytogenes,2019-07-29,Listeria monocytogenes,Microbiological,Class 1,Retail,Ontario,Ryki,Polish Trade Center Ltd.,Rycki edam cheese slices
512,823,FV Foods brand Hawaiian Sweet Roll recalled due to undeclared egg,2019-07-29,Egg,Allergen,Class 1,Retail,Nationally,FV Foods,FV Foods,Hawaiian sweet roll
513,824,"Idéale brand, Iceberg Premium brand and Originale Augustin brand ice cream and frozen yogurt products recalled due to possible presence of fine metal particles",2019-07-26,Metal,Extraneous Material,Class 2,Consumer,"Ontario, Quebec",Idéale,Agropur Cooperative,And originale augustin brand ice cream and frozen yogurt products
514,826,Western Family brand Original Wild Sockeye Smoked Salmon Nuggets recalled due to Listeria monocytogenes,2019-07-25,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,Western Family,Delta Pacific Seafood Ltd.,Original wild sockeye smoked salmon nuggets
515,827,Certain Celebrate brand frozen profiteroles and eclairs recalled due to Salmonella,2019-07-25,Salmonella,Microbiological,Class 1,Consumer,"Alberta, British Columbia, Saskatchewan",Certain Celebrate,Associated Grocers,Frozen profiteroles and eclairs
516,828,Gaia Garden Herbal Dispensary brand Gaia Balancing Tea recalled due to Salmonella,2019-07-23,Salmonella,Microbiological,Class 2,Retail,British Columbia,Gaia Garden Herbal Dispensary,Gaia Garden Herbals Inc.,Gaia balancing tea
517,829,Ryki brand Gouda Cheese Slices recalled due to Listeria monocytogenes,2019-07-23,Listeria monocytogenes,Microbiological,Class 1,Retail,Ontario,Ryki,Polish Trade Center Ltd.,Gouda cheese slices
518,830,Iceberg brand and Originale Augustin brand ice cream sandwiches recalled due to possible presence of fine metal particles,2019-07-20,Metal,Extraneous Material,Class 2,Retail,Nationally,Iceberg,Agropur Cooperative,And originale augustin brand ice cream sandwiches
519,831,Skinnygirl brand Belgian Dark Chocolate Truffles recalled due to undeclared milk,2019-07-19,Milk,Allergen,Class 2,Retail,"Alberta, British Columbia, Prince Edward Island, Manitoba, New Brunswick, Nova Scotia, Ontario, Saskatchewan, Newfoundland and Labrador",Skinnygirl,TJX Canada,Belgian dark chocolate truffles
520,832,Certain Pacific Oysters may be unsafe due to a marine biotoxin which causes Paralytic Shellfish Poisoning,2019-07-19,Marine Biotoxin,Marine Biotoxin,Class 1,Retail,"Alberta, British Columbia, Ontario",,"Albion Fisheries Ltd. (Richmond), Union Bay Seafood Ltd.",To a marine biotoxin which causes paralytic shellfish poisoning
521,833,"Shirakiku brand Frozen Fish Cakes recalled due to undeclared egg, milk, shrimp and octopus",2019-07-16,"Egg, milk, shrimp , octopus",Allergen,Class 1,Consumer,"Alberta, British Columbia, Manitoba, Ontario, Quebec, Saskatchewan",Shirakiku,"Wismettac Asian Foods, Inc.",Frozen fish cakes
522,834,Ground bison products recalled due to E. coli O121 and O103,2019-07-16,E. coli,Microbiological,Class 1,Consumer,Nationally,,Northfork Bison Distributions Inc.,To e. coli o121 and o103
523,835,Probar brand bars recalled due to undeclared milk and soy,2019-07-12,"Milk , soy",Allergen,Class 1,Retail,Nationally,Probar,"Probar LLC., Purity Life Health Products Ltd., PSC Natural Foods, Mountain Equipment Co-op",Bars
524,836,"Farm Boy brand Keto Chicken Cobb Salad and Power Protein Salad recalled due to undeclared egg, milk and soy",2019-07-12,"Egg, milk , soy",Allergen,Class 3,Retail,Ontario,Farm Boy,Farm Boy Central Operations,Keto chicken cobb salad and power protein salad
525,837,Shirakiku brand Frozen Fish Cakes recalled due to undeclared egg,2019-07-10,Egg,Allergen,Class 1,Retail,"Alberta, British Columbia, Manitoba, Ontario, Quebec, Saskatchewan",Shirakiku,"Wismettac Asian Foods, Inc.",Frozen fish cakes
526,838,Eat Smart brand 794 G (28 OZ) Sweet Kale Vegetable Salad Bag Kit recalled due to Listeria monocytogenes,2019-07-09,Listeria monocytogenes,Microbiological,Class 1,Retail,"Prince Edward Island, New Brunswick, Nova Scotia, Ontario, Quebec, Newfoundland and Labrador",Eat Smart,Fresh Taste Produce Ltd.,794 g (28 oz) sweet kale vegetable salad bag kit
527,839,Point Queen Fisheries Ltd. brand clams recalled due to a marine biotoxin which causes Paralytic Shellfish Poisoning (PSP),2019-07-09,Marine Biotoxin,Marine Biotoxin,Class 2,Hotel/Restaurant/Institutional,New Brunswick,Point Queen Fisheries Ltd.,Point Queen Fisheries Ltd.,Clams
528,841,Jongilpoom brand Enoki mushrooms recalled due to Listeria monocytogenes,2019-07-05,Listeria monocytogenes,Microbiological,--,Hotel/Restaurant/Institutional,"Alberta, British Columbia",Jongilpoom,Emperor Speciality Foods Limited,Enoki mushrooms
529,842,Chocolats Favoris brand Frozen Bar - Soy Chocolate (Vegan) recalled due to undeclared milk,2019-07-03,Milk,Allergen,Class 3,Retail,"British Columbia, Ontario, Quebec",Chocolats Favoris,9179-3323 Québec Inc. (Délifruits Inc.),Frozen bar - soy chocolate (vegan)
530,843,Wang Korea Buldak Bong brand and Wang Korea BBQ Bong brand Fish Sausage recalled due to undeclared egg,2019-07-02,Egg,Allergen,Class 3,Retail,"Alberta, British Columbia",Wang Korea Buldak Bong,Redfrog Enterprises Ltd.,And wang korea bbq bong brand fish sausage
531,844,Salish Sea Foods LP brand Farmed Oysters recalled due to Vibrio parahaemolyticus,2019-07-02,Vibrio parahaemolyticus,Microbiological,Class 3,Warehouse,British Columbia,Salish Sea Foods LP,Salish Sea Foods LP,Farmed oysters
532,845,Dongé brand Coulommiers raw milk cheese recalled due to Listeria monocytogenes,2019-07-02,Listeria monocytogenes,Microbiological,Class 1,Retail,Quebec,Dongé,Les Dépendances,Coulommiers raw milk cheese
533,847,Co-Op Gold brand Asian Appetizers Variety Pack recalled due to pieces of metal,2019-06-28,Metal,Extraneous Material,Class 3,Retail,"Alberta, Manitoba, Saskatchewan",Co-Op Gold,Nemfood Corporation,Asian appetizers variety pack
534,848,Sanwu brand Spicy Hot Bean Curd recalled due to undeclared sesame and wheat,2019-06-27,"Sesame , wheat",Allergen,Class 1,Retail,"Alberta, British Columbia",Sanwu,Clover Trading Co. Ltd.,Spicy hot bean curd
535,849,Emme Foods brand ShangHai Style Deep Fried Turnip Cake recalled due to undeclared egg and shrimp,2019-06-26,"Egg , shrimp",Allergen,Class 1,Retail,"Alberta, British Columbia",Emme Foods,Allied Global Sourcing Inc.,Shanghai style deep fried turnip cake
536,850,France Délices brand Choco-Raspberry Crunchy recalled due to norovirus,2019-06-21,Norovirus,Microbiological,Class 3,Retail,"Alberta, Quebec",France Délices,France Délices Inc.,Choco-raspberry crunchy
537,851,Certain My/Mo brand bulk mochi ice cream products recalled due to undeclared cashew,2019-06-20,Cashew,Allergen,Class 3,Retail,British Columbia,Certain My/Mo,UNFI Canada,Bulk mochi ice cream products
538,853,Gelsius brand IQF Raspberries (Frozen) recalled due to Norovirus,2019-06-19,Norovirus,Microbiological,Class 3,"Hotel/Restaurant/Institutional, Retail","Manitoba, New Brunswick, Newfoundland and Labrador, Nunavut, Ontario, Quebec",Gelsius,Farinex Distribution,Iqf raspberries (frozen)
539,854,Certain fish cake products recalled by Korea Food Trading Ltd. due to undeclared egg,2019-06-14,Egg,Allergen,Class 2,"Retail, Hotel/Restaurant/Institutional","Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec",,Korea Food Trading Ltd.,Fish cake products
540,856,"Certain Daesang brand rice seasoning mixes recalled due to undeclared egg, milk, oyster, soy, and wheat",2019-06-07,"Egg, milk, oyster, soy, , wheat",Allergen,Class 1,Retail,"Nova Scotia, Ontario, Quebec",Certain Daesang,Lemond Food Corp.,Rice seasoning mixes
541,857,Daesang brand Boc Rice (seasoning – vegetable flavour) recalled due to undeclared egg,2019-06-07,Egg,Allergen,Class 1,Retail,"Manitoba, Nova Scotia, Ontario, Quebec",Daesang,Pan Asia Food Co. Ltd.,Boc rice (seasoning – vegetable flavour)
542,855,"Certain Daesang brand rice seasoning mixes recalled due to undeclared egg, milk, and oyster",2019-06-07,"Egg, milk, , oyster",Allergen,Class 1,Retail,"Nova Scotia, Ontario, Quebec",Certain Daesang,Korea Food Trading,Rice seasoning mixes
543,862,Certain Daesang brand rice seasoning mixes recalled due to undeclared egg,2019-06-04,Egg,Allergen,Class 1,Consumer,"Alberta, British Columbia, Manitoba, Saskatchewan",Certain Daesang,T-Brothers Food And Trading Ltd.,Rice seasoning mixes
544,863,"MyChopChop brand ""Grounded Peper"" recalled due to Salmonella",2019-06-03,Salmonella,Microbiological,Class 2,Consumer,Nationally,MyChopChop,MyChopChop,"""grounded peper"""
545,866,Excessive Consumption of Apricot Power brand Bitter Raw Apricot Seeds and Apricot Seed Meal may cause Cyanide Poisoning,2019-06-01,Cyanide poisoning,Chemical,Class 1,Retail,Nationally,Excessive Consumption of Apricot Power,Ecoideas Innovations Inc.,Excessive consumption of apricot power
546,867,Prana Organic brand Dried Figs recalled due to presence of insects,2019-05-31,Insects,Extraneous Material,Class 3,Retail,"New Brunswick, Ontario, Quebec, Newfoundland and Labrador",Prana Organic,Prana Biovégétaliens Inc.,Dried figs
547,868,ChoripDong brand Frozen Par Fried Fish Cake recalled due to undeclared egg,2019-05-29,Egg,Allergen,Class 2,"Retail, Hotel/Restaurant/Institutional","Alberta, British Columbia, Saskatchewan",ChoripDong,Seoul Trading Corporation,Frozen par fried fish cake
548,869,Compliments brand Chicken Strips recalled due to Salmonella,2019-05-24,Salmonella,Microbiological,Class 1,Retail,Nationally,Compliments,Sofina Foods Inc.,Chicken strips
549,870,Caffiend brand Cappuccino Stout Beer recalled due to bursting cans,2019-05-23,Bursting cans,Other,Class 3,Retail,Quebec,Caffiend,Microbrasserie 4 Origines,Cappuccino stout beer
550,871,Pousses et Cie brand Mix Spicy Microgreens recalled due to Listeria monocytogenes,2019-05-22,Listeria monocytogenes,Microbiological,Class 1,Consumer,Quebec,Pousses et Cie,Les Serres René Fontaine Inc.,Mix spicy microgreens
551,872,Laskol brand Chrzan recalled due to undeclared milk,2019-05-21,Milk,Allergen,Class 1,Retail,"Alberta, Manitoba, Ontario",Laskol,Polish Trade Centre Ltd.,Chrzan
552,873,City Bread brand Rye Bread recalled due to pieces of plastic,2019-05-17,Plastic,Extraneous Material,Class 3,Retail,Manitoba,City Bread,City Bread Co. Ltd.,Rye bread
553,874,Dom Reserve brand Atlantic Salmon Strips (Hot Smoked) Cracked Black Pepper recalled due to Listeria monocytogenes,2019-05-17,Listeria monocytogenes,Microbiological,Class 1,Retail,"Ontario, Quebec",Dom Reserve,DOM International Limited,Atlantic salmon strips (hot smoked) cracked black pepper
554,875,Ralph's brand bread products recalled due to undeclared milk,2019-05-17,Milk,Allergen,Class 1,Consumer,Ontario,Ralph's,Ralph's Bakery,Bread products
555,877,Kind Organics brand Alfalfa recalled due to generic E. coli,2019-05-13,E. coli,Microbiological,Class 2,Retail,Ontario,Kind Organics,Kind Organics Inc.,Alfalfa
556,879,Kind Organics brand Crunchy Bean Mix recalled due to generic E. coli,2019-05-10,E. coli,Microbiological,Class 2,Retail,Ontario,Kind Organics,Kind Organics Inc.,Crunchy bean mix
557,881,"Elman's brand Dressing recalled due to undeclared sesame, wheat, and gluten",2019-05-08,"Sesame, wheat, , gluten",Allergen,Class 1,Retail,Nationally,Elman's,Elman's Food Products Ltd.,Dressing
558,882,Feeding Change brand Young Thai Coconut Meat recalled due to Salmonella,2019-05-07,Salmonella,Microbiological,Class 2,Retail,Nationally,Feeding Change,FeedingChange Canada,Young thai coconut meat
559,883,1st Choice brand Cut Kimchi recalled due to mould,2019-05-07,Mould,Microbiological,Class 3,Retail,"Alberta, British Columbia",1st Choice,Han-Ka Export Import Ltd.,Cut kimchi
560,884,"Toppits brand Cooked Salmon Pieces, Cooked, Boneless, Skinless – Pink recalled due to Listeria monocytogenes",2019-05-07,Listeria monocytogenes,Microbiological,Class 2,Hotel/Restaurant/Institutional,Nationally,Toppits,Toppits Foods Ltd.,"Cooked salmon pieces, cooked, boneless, skinless – pink"
561,885,Vogel's Fine Meats & Sausages brand Krainer Sausages and Fine Bratwurst recalled due to undeclared mustard,2019-05-06,Mustard,Allergen,Class 3,Retail,Ontario,Vogel's Fine Meats & Sausages,Vogel's Fine Meats & Sausages,Krainer sausages and fine bratwurst
562,886,DOM RESERVE brand Atlantic Salmon Strips (Hot Smoked) Cracked Black Pepper recalled due to Listeria monocytogenes,2019-05-05,Listeria monocytogenes,Microbiological,Class 1,Retail,Ontario,DOM RESERVE,DOM International Limited,Atlantic salmon strips (hot smoked) cracked black pepper
563,887,GPM brand Pea Shoots recalled due to Listeria monocytogenes,2019-05-04,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,GPM,Golden Pearl Mushrooms Ltd.,Pea shoots
564,888,Certain President's Choice brand and PC Black Label brand sauces Recalled Due to Pieces of Glass,2019-05-03,Glass,Extraneous Material,Class 2,Retail,Nationally,Certain President's Choice,Loblaw Companies Limited,And pc black label brand sauces
565,890,Patak's brand Tikka Masala and Butter Chicken 3 Step recalled due to undeclared cashew and mustard,2019-05-02,"Cashew , mustard",Allergen,Class 3,Retail,"Prince Edward Island, New Brunswick, Nova Scotia, Ontario, Quebec, Newfoundland and Labrador",Patak's,I-D Foods Corporation,Tikka masala and butter chicken 3 step
566,892,Yamnuska Backcountry Kitchen brand Vegetarian Chili and Vegetarian Shepherd's Pie recalled due to undeclared soy,2019-05-01,Soy,Allergen,Class 3,Retail,Alberta,Yamnuska Backcountry Kitchen,Yamnuska Backcountry Kitchen,Vegetarian chili and vegetarian shepherd's pie
567,893,"Le Pic brand ""Saint-Félicien"" cheese recalled due to E. coli O26",2019-04-29,E. coli,Microbiological,Class 1,Consumer,Quebec,Le Pic,La Fromagerie Hamel,"""saint-félicien"" cheese"
568,895,Ecoideas brand Organic Skinned Tigernuts recalled due to Salmonella,2019-04-26,Salmonella,Microbiological,Class 2,Consumer,Nationally,Ecoideas,Ecoideas,Organic skinned tigernuts
569,899,Kirkland Signature brand Harvest Burger - Veggie Burgers recalled due to possible presence of pieces of metal,2019-04-18,Metal,Extraneous Material,Class 2,Retail,Nationally,Kirkland Signature,Belmont Meat Products,Harvest burger - veggie burgers
570,900,Livefit brand Pulled Pork and Brussel Sprouts Au Gratin recalled due to pieces of metal,2019-04-17,Metal,Extraneous Material,Class 3,Retail,Ontario,Livefit,Livefit North America Inc.,Pulled pork and brussel sprouts au gratin
571,901,Kind Organics brand Alfalfa and Broccoli Brassica recalled due to generic E. coli,2019-04-16,E. coli,Microbiological,Class 2,Retail,Ontario,Kind Organics,Kind Organics Inc.,Alfalfa and broccoli brassica
572,902,Cuorenero brand Ccandyz Flamingo Lovers Confections recalled due to undeclared almond and hazelnut,2019-04-15,"Almond , hazelnut",Allergen,Class 2,Retail,"Alberta, British Columbia, Prince Edward Island, Manitoba, New Brunswick, Nova Scotia, Ontario, Saskatchewan, Newfoundland and Labrador",Cuorenero,TJX Canada,Ccandyz flamingo lovers confections
573,904,Kokkinos Oreinos brand Kriti Graviera recalled due to generic E. coli,2019-04-12,E. coli,Microbiological,Class 2,Retail,"Ontario, Quebec",Kokkinos Oreinos,MFG Distribution Inc.,Kriti graviera
574,905,I'm Real brand Dehydrated Premium Mango recalled due to improperly declared sulphites,2019-04-11,sulphites,Allergen,Class 2,Retail,"Alberta, British Columbia, Ontario",I'm Real,Uncle T Food,Dehydrated premium mango
575,906,Compliments Balance brand Lean Turkey Meatballs recalled due to presence of bone fragments,2019-04-11,Bone,Extraneous Material,Class 2,Retail,Nationally,Compliments Balance,Macgregors Meat & Seafood Ltd.,Lean turkey meatballs
